distinct_fullvisitorid,distinct_visitid,occurrences
11648022744927415416,1551653646,1
11650136435754998352,1551653192,1
11650830386071607611,1552343022,1
1165155925909775791,1552257869,1
1165686328930165158,1551480941,1
11659744761207163595,1551913140,2
11659744761207163595,1551480328,2
11659776327116462116,1552429824,1
11679573881713948875,1551739721,2
11679573881713948875,1552343608,2
11680301943135417237,1552257880,1
1168039318129201167,1552516774,1
11685258233948947927,1551999297,1
11686543396660624621,1551566521,1
11689373819366893890,1551912771,1
11689901140151849075,1551653035,1
11696215934397002834,1551566018,1
11696913519011517373,1552602456,1
11697159392311093929,1551739609,1
11698864894481794899,1551566321,1
11699225954805153990,1551826602,1
11711217143078798816,1552085330,1
11712904757429018771,1551652238,1
1171387482407853909,1551481135,1
11714209758765402833,1552603968,1
11717981375579553109,1551912315,1
11718669961196697318,1551826614,1
11724020942153121570,1551825887,1
11725456303537347566,1551565670,1
1172707583077561496,1552604167,1
11731573163573161011,1552430627,1
11734577225153279995,1552170893,1
1174871238670132795,1551826175,1
1175329328841378486,1551739728,1
11763500779655230703,1551479945,1
11770569082441844959,1552602682,1
11776013671537736297,1552429768,1
11781949207923792907,1552516287,1
11791253772052066586,1551998153,1
11796349445807009317,1552170767,1
11797024718213411747,1551825676,1
11800684129164151010,1552083631,1
11807707482422072157,1551562937,1
11808603775964518,1552170944,1
11814339250012433702,1552085611,1
11815948135480946964,1552427946,1
11820529841534728286,1551567273,2
11820529841534728286,1552084848,2
11838998520518231294,1552083838,1
11855647027030512161,1552258418,1
11865427953570787356,1552258490,1
11868506079591539036,1552344586,1
11879307735689181360,1551912015,1
11887720650235910738,1552430115,1
11890611114401724823,1552258442,1
11899021115831004191,1551566369,1
11900346983672513583,1551653713,1
11901996143263891302,1552171409,1
11907143652490977092,1552167781,1
11908449997491847215,1551826768,1
11909553440593087178,1552517873,1
11914185045219024191,1552171648,1
11919123932324318686,1552258324,1
11921775753244522711,1551567388,1
11922941349541527755,1551566327,1
11923158954212156635,1551826796,2
11923158954212156635,1551912605,2
11927230727576201718,1552345074,1
11930187687572311604,1551652296,1
11934154433806931120,1552257524,3
11934154433806931120,1552516346,3
11934154433806931120,1552431040,3
1193417163584476642,1551653262,1
11934437645628535125,1552516707,1
1193617434163414192,1552342071,1
11936818090900450742,1551480710,1
11941363968659900716,1551826099,1
11943135500250341263,1552343597,1
