sessionID,visitStartTime_ts,app_complete_ts,ts_diff_minutes
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:41:55.753 UTC,31
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:41:59.516 UTC,32
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:42:04.422 UTC,32
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:43:08.166 UTC,33
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:43:11.102 UTC,33
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:43:22.010 UTC,33
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:43:23.879 UTC,33
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:43:52.030 UTC,33
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:00.218 UTC,34
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:03.200 UTC,34
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:36.949 UTC,34
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:43.918 UTC,34
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:46.723 UTC,34
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:55.984 UTC,34
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:44:58.192 UTC,35
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:45:01.699 UTC,35
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:45:05.303 UTC,35
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:45:13.219 UTC,35
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:45:18.360 UTC,35
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:46:36.219 UTC,36
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:46:41.163 UTC,36
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:22.299 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:29.287 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:34.390 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:38.299 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:42.632 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:46.063 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:47:49.464 UTC,37
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:48:00.459 UTC,38
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:48:05.730 UTC,38
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:48:07.888 UTC,38
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:48:09.660 UTC,38
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:49:20.948 UTC,39
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:49:47.874 UTC,39
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:49:53.349 UTC,39
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:49:56.847 UTC,39
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:49:58.903 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:00.885 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:02.819 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:04.823 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:06.823 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:08.588 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:11.293 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:13.545 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:19.175 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:25.152 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:27.805 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:30.032 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:50:37.072 UTC,40
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:52:28.295 UTC,42
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:52:36.316 UTC,42
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:52:39.798 UTC,42
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:52:44.252 UTC,42
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:52:48.640 UTC,42
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:05.270 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:10.331 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:14.185 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:18.152 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:22.590 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:26.724 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:53:33.204 UTC,43
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:54:40.425 UTC,44
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:54:42.911 UTC,44
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:54:46.582 UTC,44
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:54:49.234 UTC,44
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:54:54.871 UTC,44
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:25.276 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:33.537 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:34.285 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:37.524 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:46.150 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:53.453 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:55:54.377 UTC,45
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:56:09.762 UTC,46
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:56:27.331 UTC,46
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:56:42.425 UTC,46
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:56:46.393 UTC,46
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:56:53.314 UTC,46
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:56:58.866 UTC,47
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:57:03.855 UTC,47
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:57:06.587 UTC,47
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:57:34.119 UTC,47
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:57:40.423 UTC,47
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:57:45.189 UTC,47
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:03.119 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:06.685 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:10.384 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:17.027 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:20.978 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:24.068 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:26.960 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:44.475 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:47.618 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:50.072 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:52.843 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:55.582 UTC,48
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:58:59.325 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:01.584 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:03.798 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:05.383 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:08.299 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:13.503 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:16.437 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:18.370 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:20.810 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:22.876 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:25.894 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:28.282 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:30.212 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:36.158 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:38.797 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:42.319 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:48.325 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:52.291 UTC,49
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:59:54.176 UTC,49
